NAME,POSITION,START_SEASON,END_SEASON,TRANSFERRED FROM,TRANSFERRED TO,APPEARANCES,GOALS
ADAMS Tony,CD,1983,2002,Apprentice,Retired,504,32
ADDISON Colin,IF,1966,1968,Nottingham Forest,Sheffield United,28,9
ADEBAYOR Emmanuel,F,2005,2009,AS Monaco,Manchester City,104,46
ALIADIERE Jeremie,F,2001,2007,Youth Trainee,Middlesbrough,29,1
ALLINSON Ian,W,1983,1987,Colchester United,Stoke City,83,16
ALMUNIA Manuel,G,2004,2011,Celta Vigo,Watford,109,0
AMPADU Kwame,M,1989,1990,Youth Trainee,West Bromwich Albion,2,0
ANDERSON Terry,W,1962,1965,Apprentice,Norwich City,25,6
ANDERSON Viv,FB,1984,1987,Nottingham Forest,Manchester United,120,9
ANELKA Nicolas,F,1996,1999,Paris St. Germain,Real Madrid,65,23
ARMSTRONG George,W,1961,1977,Youth Trainee,Leicester City,500,53
ARSHAVIN Andrey,M,2008,2013,Zenit St. Petersburg,Zenit St. Petersburg,105,23
BACUZZI Dave,FB,1960,1964,Eastbourne,Manchester City,46,0
BAKER Joe,CF,1962,1966,Torino,Nottingham Forest,144,93
BALDWIN Tommy,F,1964,1967,Wrekenton Youth Trainee,Chelsea,17,7
BALL Alan,M,1971,1977,Everton,Southampton,177,45
BAPTISTA Julio,M,2006,2007,Real Madrid,,24,3
BARNES Walley,FB,1946,1956,Southampton,Retired,267,11
BARNETT Geoff,G,1969,1976,Everton,Minnesota Kicks,39,0
BARNWELL John,IF,1956,1964,Bishop Auckland,Nottingham Forest,138,23
BARRETT Graham,F,1999,2000,Youth Trainee,Coventry City,2,0
BARRON Paul,G,1978,1980,Plymouth Argyle,Crystal Palace,8,0
BARTRAM Vince,G,1994,1995,Bournemouth,Gillingham,11,0
BASTIN Cliff,W,1929,1947,Exeter City,Retired,350,150
BATSON Brendon,FB,1971,1974,Apprentice,Cambridge United,10,0
BENAYOUN Yossi,M,2011,2012,Chelsea,,19,4
BENDTNER Nicklas,F,2007,2014,Youth Trainee,VfL Wolfsburg,108,24
BENTLEY David,M,2003,2004,Youth Trainee,Blackburn Rovers,1,0
BERGKAMP Dennis,F,1995,2006,Internazionale Milan,Retired,315,87
BIGGS Tony,CF,1959,1959,Hounslow Town,LeYouth Traineeon Orient,4,1
BISCHOFF Amaury,M,2008,2011,Werder Bremen,Academica de Coimbra,1,0
BLACK Tommy,M,1999,2000,Youth Trainee,Crystal Palace,1,0
BLOCKLEY Jeff,CD,1972,1975,Coventry City,Leicester City,52,1
BLOOMFIELD Jimmy,IF,1954,1961,Brentford,Birmingham City,210,54
BOA MORTE Luis,W,1997,2000,Sporting Lisbon,Southampton,25,0
BOOT Mickey,M,1966,1967,Youth Trainee,Port Elizabeth City,4,2
BOULD Steve,CD,1988,1999,Stoke City,Sunderland,287,5
BOWEN Dave,WH,1950,1959,Northampton Town,P/Mgr.Northampton Town,146,2
BRADY Liam,M,1973,1980,Apprentice,Juventus,235,43
BRIGNALL Steve,CD,1978,1979,Apprentice,Harstad IL,2,0
BROWN Laurie,CH,1961,1964,Northampton Town,Tottenham Hotspur,101,2
BURNS Tony,G,1964,1966,Tonbridge,Brighton,31,0
CABALLERO Fabian,F,1998,1999,Cerro Portino,,1,0
CAESAR Gus,CD,1985,1990,Apprentice,Cambridge United,44,0
CALVERLEY Alf,W,1946,1947,Mansfield Town,Preston North End,11,0
CAMPBELL Kevin,F,1987,1995,Youth Trainee,Nottingham Forest,166,46
CAMPBELL Sol,CD,2001,2006,Tottenham Hotspur,Portsmouth,135,8
CARTER Jimmy,W,1991,1995,Liverpool,Portsmouth,25,2
CATON Tommy,CD,1983,1986,Manchester City,Oxford United,81,2
CHAMAKH Marouane,F,2010,2012,Bordeaux,Crystal Palace,40,8
CHAMBERS Brian,M,1973,1974,Sunderland,Luton Town,1,0
CHAPMAN Lee,F,1982,1984,Stoke City,Sunderland,24,4
CHARLES Mel,CF,1959,1962,Swansea Town,Cardiff City,60,26
CHARLTON Stan,FB,1955,1959,LeYouth Traineeon Orient,LeYouth Traineeon Orient,99,0
CHENHALL John,FB,1951,1953,Maidenhead United,Fulham,16,0
CLAMP Eddie,WH,1961,1963,Wolverhampton Wds.,Stoke City,22,1
CLAPTON Danny,W,1954,1962,LeYouth Traineeonstone,Luton Town,207,25
CLAPTON Dennis,CF,1959,1961,Youth Trainee,Northampton Town,4,0
CLARKE Adrian,M,1994,1996,Youth Trainee,Southend United,7,0
CLARKE Fred,FB,1961,1965,Glenavon,Glenavon,26,0
CLICHY Gael,FB,2003,2011,AS Cannes,Manchester City,187,1
COAKLEY Tommy,W,1966,1967,Motherwell,Detroit Cougars,9,1
COLE Andy,F,1990,1991,Youth Trainee,Bristol City,1,0
COLE Ashley,FB,1999,2006,Youth Trainee,Chelsea,156,8
COLLETT Ernie,WH,1937,1947,Oughtibridge W.M.C.,Coach Arsenal,20,0
COMPTON Denis,W,1936,1950,Nunhead,Retired,54,15
COMPTON Les,CH,1931,1952,Hampstead Town,Retired,253,5
CORK David,F,1983,1984,Apprentice,Huddersfield Town,7,1
COURT David,M,1962,1970,Apprentice,Luton Town,175,17
COX Freddie,W,1949,1953,Tottenham Hotspur,West Bromwich Albion,79,9
CROPLEY Alex,M,1974,1977,Hibernian,Aston Villa,30,5
CURTIS George,WH,1938,1947,Anglo,Southampton,13,0
CYGAN Pascal,CD,2002,2006,Lille,Villarreal CF,63,3
DANIEL Ray,CH,1948,1953,Swansea Town,Sunderland,87,5
DANILEVICIUS Tomas,F,2000,2001,Lausanne,Beveren,2,0
DAVIDSON Roger,M,1967,1968,Apprentice,Portsmouth,1,0
DAVIES Paul,CF,1971,1972,Apprentice,Charlton Athletic,1,0
DAVIS Paul,M,1979,1995,Apprentice,Brentford,351,30
DENILSON,M,2006,2011,Sao Paulo,Sao Paulo,96,6
DEVINE John,M,1977,1983,Apprentice,Norwich City,89,0
DIARRA Lassana,M,2007,2008,Chelsea,Portsmouth,7,0
DIAWARA Kaba,F,1998,1999,Bordeaux,Olympique Marseille,12,0
DICKOV Paul,F,1992,1997,Youth Trainee,Manchester City,21,3
DICKSON Bill,WH,1953,1956,Chelsea,Mansfield Town,29,1
DIXON Lee,FB,1987,2002,Stoke City,Retired,458,25
DJOUROU Johan,D,2005,2012,Youth Trainee,Hamburger SV,86,1
DOCHERTY Tommy,WH,1958,1961,Preston North End,Chelsea,83,1
DODGIN Bill,CH,1952,1960,Fulham,Fulham,191,0
DRURY George,IF,1937,1947,Sheffield Wednesday,West Bromwich Albion,38,3
EASTHAM George,IF,1960,1966,Newcastle United,Stoke City,207,41
EASTMOND Craig,M,2009,2011,Youth Trainee,Colchester United,4,0
EBOUE Emmanuel,FB,2004,2011,KSK Beveren,Galatasaray,132,5
EDU,M,2000,2005,Corinthians,Valencia,79,7
EDUARDO,F,2007,2010,Dinamo Zagreb,Shakhtar Donetsk,41,6
EMMANUEL-THOMAS Jay,M,2010,2011,Youth Trainee,Ipswich Town,1,0
EVANS Dennis,FB,1953,1960,Ellesmere Port,Retired,189,10
EVERITT Mike,FB,1959,1961,Youth Trainee,Northampton Town,9,1
